127.0.0.1 - - [25/May/2019:19:30:46 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/May/2019:19:30:48 +0530] "GET /Lab09/index.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [25/May/2019:19:32:02 +0530] "GET /Lab09/index.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [25/May/2019:19:33:45 +0530] "GET /Lab09/index.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [25/May/2019:19:34:06 +0530] "GET /Lab09/index.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [25/May/2019:19:37:01 +0530] "GET /Lab09/index.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [25/May/2019:19:38:54 +0530] "GET /Lab09/index.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [25/May/2019:19:41:42 +0530] "GET /Lab09/index.html HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [25/May/2019:19:44:27 +0530] "GET /Lab09/index.html HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [25/May/2019:19:45:25 +0530] "GET /Lab09/index.html HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [25/May/2019:19:52:06 +0530] "GET /Lab09/index.html HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [25/May/2019:19:52:06 +0530] "GET /Lab09/js/jquery.js HTTP/1.1" 200 290960
0:0:0:0:0:0:0:1 - - [25/May/2019:19:55:57 +0530] "GET /Lab09/index.html HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [25/May/2019:19:55:57 +0530] "GET /Lab09/WebContent/js/jquery-3.4.1.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [25/May/2019:19:56:58 +0530] "GET /Lab09/index.html HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [25/May/2019:19:56:58 +0530] "GET /Lab09/js/jquery-3.4.1.js HTTP/1.1" 200 280364
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:22 +0530] "GET /Lab09/index.html HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:23 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 200 280364
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:24 +0530] "GET /Lab09/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:24 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:24 +0530] "GET /Lab09/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:24 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:24 +0530] "GET /Lab09/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:24 +0530] "GET /Lab09/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:19:58:25 +0530] "GET /Lab09/index.html HTTP/1.1" 304 -
